ATTACK_METHODS,CONTROL_GROUP ×1,INTER_NEAREST ×0.5,INTER_LINEAR ×0.5,INTER_AREA ×0.5,INTER_CUBIC ×0.5,INTER_LANCZOS4 ×0.5,INTER_NEAREST ×2,INTER_LINEAR ×2,INTER_AREA ×2,INTER_CUBIC ×2,INTER_LANCZOS4 ×2
fgsm_level1,47.0,57.0,59.0,59.0,54.0,58.0,4.0,4.0,4.0,5.0,6.0
fgsm_level2,52.0,58.0,61.0,61.0,54.0,58.0,11.0,11.0,11.0,13.0,15.0
fgsm_level3,64.0,58.0,61.0,61.0,57.0,58.0,21.0,22.0,21.0,25.0,23.0
fgsm_level4,84.0,67.0,69.0,69.0,70.0,68.0,39.0,32.0,39.0,41.0,47.0
bim_level1,92.0,58.0,61.0,61.0,59.0,59.0,5.0,7.0,5.0,8.0,9.0
bim_level2,96.0,64.0,62.0,62.0,58.0,61.0,12.0,13.0,12.0,15.0,16.0
bim_level3,100.0,64.0,62.0,62.0,63.0,63.0,24.0,27.0,24.0,29.0,30.0
bim_level4,100.0,64.0,66.0,66.0,65.0,65.0,35.0,38.0,35.0,35.0,40.0
mim_level1,100.0,57.0,59.0,59.0,59.0,61.0,9.0,9.0,9.0,12.0,11.0
mim_level2,99.0,62.0,59.0,59.0,57.0,61.0,16.0,20.0,16.0,20.0,20.0
mim_level3,100.0,65.0,66.0,66.0,60.0,61.0,26.0,29.0,26.0,30.0,30.0
mim_level4,100.0,72.0,70.0,70.0,66.0,69.0,35.0,33.0,35.0,38.0,36.0
df_level1,90.0,57.0,56.0,56.0,58.0,60.0,5.0,2.0,5.0,2.0,4.0
df_level2,95.0,61.0,60.0,60.0,60.0,63.0,8.0,7.0,8.0,9.0,9.0
df_level3,94.0,59.0,63.0,63.0,60.0,63.0,14.0,8.0,14.0,10.0,11.0
df_level4,95.0,62.0,64.0,64.0,63.0,64.0,21.0,14.0,21.0,15.0,16.0
cw_level1,38.0,57.0,57.0,57.0,56.0,56.0,4.0,2.0,4.0,1.0,3.0
cw_level2,60.0,57.0,59.0,59.0,59.0,61.0,7.0,6.0,7.0,6.0,8.0
cw_level3,73.0,58.0,62.0,62.0,58.0,63.0,12.0,13.0,12.0,10.0,8.0
cw_level4,89.0,62.0,59.0,59.0,58.0,63.0,20.0,17.0,20.0,18.0,20.0
hsj_level1,84.0,96.0,94.0,94.0,90.0,96.0,80.0,70.0,80.0,80.0,84.0
hsj_level2,88.0,96.0,94.0,94.0,94.0,94.0,78.0,78.0,78.0,84.0,88.0
hsj_level3,84.0,96.0,94.0,94.0,90.0,90.0,80.0,74.0,80.0,72.0,72.0
hsj_level4,90.0,98.0,90.0,90.0,88.0,90.0,86.0,78.0,86.0,82.0,74.0
ga_level1,83.0,75.0,68.0,68.0,68.0,72.0,56.0,37.0,56.0,50.0,58.0
ga_level2,89.0,76.0,69.0,69.0,67.0,73.0,68.0,45.0,68.0,58.0,68.0
ga_level3,93.0,79.0,73.0,73.0,74.0,79.0,76.0,51.0,76.0,70.0,74.0
ga_level4,97.0,83.0,73.0,73.0,76.0,78.0,81.0,60.0,81.0,74.0,81.0
