ATTACK_METHODS,CONTROL_GROUP ×1,INTER_NEAREST ×0.5,INTER_LINEAR ×0.5,INTER_AREA ×0.5,INTER_CUBIC ×0.5,INTER_LANCZOS4 ×0.5,INTER_NEAREST ×2,INTER_LINEAR ×2,INTER_AREA ×2,INTER_CUBIC ×2,INTER_LANCZOS4 ×2
fgsm_level1,83.0,31.0,26.0,26.0,31.0,30.0,34.0,26.0,34.0,25.0,24.0
fgsm_level2,83.0,36.0,30.0,30.0,36.0,33.0,39.0,29.0,39.0,34.0,33.0
fgsm_level3,88.0,42.0,38.0,38.0,45.0,46.0,50.0,37.0,50.0,37.0,41.0
fgsm_level4,93.0,56.0,53.0,53.0,56.0,55.0,70.0,57.0,70.0,61.0,60.0
bim_level1,98.0,31.0,26.0,26.0,31.0,31.0,33.0,26.0,33.0,25.0,24.0
bim_level2,100.0,37.0,30.0,30.0,37.0,36.0,39.0,30.0,39.0,35.0,34.0
bim_level3,100.0,47.0,40.0,40.0,50.0,51.0,52.0,47.0,52.0,46.0,48.0
bim_level4,100.0,48.0,42.0,42.0,50.0,53.0,57.0,49.0,57.0,49.0,53.0
mim_level1,100.0,31.0,26.0,26.0,31.0,30.0,34.0,27.0,34.0,26.0,25.0
mim_level2,100.0,40.0,31.0,31.0,38.0,35.0,40.0,31.0,40.0,35.0,34.0
mim_level3,100.0,52.0,41.0,41.0,54.0,56.0,63.0,47.0,63.0,48.0,56.0
mim_level4,100.0,55.0,49.0,49.0,56.0,58.0,68.0,54.0,68.0,58.0,66.0
df_level1,98.0,27.0,23.0,23.0,28.0,29.0,31.0,13.0,31.0,13.0,14.0
df_level2,98.0,31.0,30.0,30.0,32.0,30.0,35.0,20.0,35.0,17.0,16.0
df_level3,97.0,33.0,32.0,32.0,36.0,34.0,34.0,23.0,34.0,23.0,22.0
df_level4,96.0,36.0,32.0,32.0,36.0,38.0,39.0,26.0,39.0,31.0,31.0
cw_level1,60.0,27.0,24.0,24.0,27.0,26.0,28.0,11.0,28.0,11.0,12.0
cw_level2,87.0,29.0,29.0,29.0,33.0,31.0,37.0,15.0,37.0,16.0,14.0
cw_level3,95.0,31.0,35.0,35.0,35.0,34.0,38.0,20.0,38.0,22.0,21.0
cw_level4,98.0,34.0,35.0,35.0,37.0,39.0,41.0,26.0,41.0,28.0,30.0
hsj_level1,89.0,66.0,50.0,50.0,59.0,61.0,69.0,56.0,69.0,61.0,62.0
hsj_level2,87.0,62.0,49.0,49.0,56.0,62.0,69.0,57.0,69.0,63.0,61.0
hsj_level3,95.0,63.0,47.0,47.0,54.0,61.0,71.0,55.0,71.0,61.0,63.0
hsj_level4,98.0,68.0,44.0,44.0,57.0,62.0,68.0,57.0,68.0,63.0,64.0
ga_level1,86.0,74.0,52.0,52.0,65.0,68.0,75.0,67.0,75.0,73.0,76.0
ga_level2,88.0,71.0,56.0,56.0,66.0,70.0,79.0,73.0,79.0,78.0,76.0
ga_level3,92.0,74.0,53.0,53.0,66.0,69.0,85.0,76.0,85.0,83.0,82.0
ga_level4,90.0,75.0,60.0,60.0,69.0,76.0,84.0,79.0,84.0,82.0,80.0
