ATTACK_METHODS,CONTROL_GROUP ×1,INTER_NEAREST ×0.5,INTER_LINEAR ×0.5,INTER_AREA ×0.5,INTER_CUBIC ×0.5,INTER_LANCZOS4 ×0.5,INTER_NEAREST ×2,INTER_LINEAR ×2,INTER_AREA ×2,INTER_CUBIC ×2,INTER_LANCZOS4 ×2
fgsm_level1,88.0,27.0,17.0,17.0,19.0,21.0,26.0,35.0,26.0,35.0,39.0
fgsm_level2,89.0,28.0,20.0,20.0,25.0,27.0,39.0,51.0,39.0,50.0,53.0
fgsm_level3,89.0,38.0,33.0,33.0,35.0,38.0,45.0,56.0,45.0,51.0,50.0
fgsm_level4,91.0,59.0,45.0,45.0,51.0,52.0,66.0,66.0,66.0,63.0,61.0
bim_level1,98.0,27.0,17.0,17.0,19.0,21.0,26.0,35.0,26.0,35.0,39.0
bim_level2,100.0,28.0,20.0,20.0,26.0,28.0,39.0,51.0,39.0,51.0,54.0
bim_level3,100.0,40.0,28.0,28.0,32.0,36.0,45.0,65.0,45.0,59.0,60.0
bim_level4,100.0,41.0,29.0,29.0,34.0,37.0,47.0,68.0,47.0,63.0,62.0
mim_level1,100.0,27.0,17.0,17.0,19.0,21.0,26.0,35.0,26.0,35.0,39.0
mim_level2,100.0,28.0,21.0,21.0,26.0,27.0,39.0,54.0,39.0,52.0,55.0
mim_level3,100.0,39.0,32.0,32.0,34.0,37.0,47.0,64.0,47.0,59.0,58.0
mim_level4,100.0,43.0,35.0,35.0,36.0,40.0,54.0,71.0,54.0,64.0,62.0
df_level1,95.0,15.0,14.0,14.0,13.0,13.0,16.0,12.0,16.0,13.0,12.0
df_level2,95.0,15.0,14.0,14.0,13.0,13.0,16.0,12.0,16.0,13.0,12.0
df_level3,94.0,15.0,14.0,14.0,13.0,13.0,16.0,12.0,16.0,13.0,12.0
df_level4,90.0,15.0,14.0,14.0,13.0,13.0,16.0,12.0,16.0,13.0,12.0
cw_level1,100.0,15.0,13.0,13.0,13.0,13.0,15.0,12.0,15.0,12.0,12.0
cw_level2,100.0,15.0,13.0,13.0,13.0,13.0,15.0,12.0,15.0,12.0,12.0
cw_level3,100.0,15.0,13.0,13.0,13.0,13.0,15.0,12.0,15.0,12.0,12.0
cw_level4,100.0,15.0,13.0,13.0,13.0,13.0,15.0,12.0,15.0,12.0,12.0
ga_level1,34.0,34.0,23.0,23.0,25.0,29.0,39.0,34.0,39.0,32.0,31.0
ga_level2,85.0,67.0,51.0,51.0,58.0,57.0,84.0,75.0,84.0,81.0,81.0
ga_level3,100.0,87.0,68.0,68.0,73.0,78.0,100.0,99.0,100.0,100.0,100.0
ga_level4,100.0,93.0,77.0,77.0,78.0,78.0,100.0,100.0,100.0,100.0,100.0
hsj_level1,78.0,14.0,14.0,14.0,14.0,14.0,16.0,13.0,16.0,14.0,12.0
hsj_level2,73.0,17.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,12.0,13.0
hsj_level4,75.0,16.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,13.0,12.0
