ATTACK_METHODS,CONTROL_GROUP ×1,INTER_NEAREST ×0.5,INTER_LINEAR ×0.5,INTER_AREA ×0.5,INTER_CUBIC ×0.5,INTER_LANCZOS4 ×0.5,INTER_NEAREST ×2,INTER_LINEAR ×2,INTER_AREA ×2,INTER_CUBIC ×2,INTER_LANCZOS4 ×2
fgsm_level1,80.0,18.0,16.0,16.0,17.0,17.0,56.0,33.0,56.0,37.0,34.0
fgsm_level2,83.0,22.0,19.0,19.0,21.0,22.0,65.0,40.0,65.0,39.0,43.0
fgsm_level3,84.0,35.0,30.0,30.0,34.0,32.0,71.0,53.0,71.0,52.0,50.0
fgsm_level4,86.0,46.0,40.0,40.0,47.0,49.0,74.0,56.0,74.0,55.0,55.0
bim_level1,98.0,18.0,16.0,16.0,17.0,17.0,61.0,33.0,61.0,37.0,34.0
bim_level2,99.0,23.0,19.0,19.0,21.0,22.0,71.0,41.0,71.0,40.0,44.0
bim_level3,100.0,37.0,27.0,27.0,30.0,30.0,86.0,60.0,86.0,61.0,60.0
bim_level4,100.0,39.0,30.0,30.0,34.0,32.0,87.0,61.0,87.0,66.0,64.0
mim_level1,98.0,18.0,16.0,16.0,17.0,17.0,60.0,33.0,60.0,37.0,35.0
mim_level2,98.0,23.0,19.0,19.0,22.0,23.0,72.0,43.0,72.0,42.0,46.0
mim_level3,100.0,37.0,31.0,31.0,33.0,32.0,87.0,67.0,87.0,65.0,61.0
mim_level4,100.0,46.0,36.0,36.0,38.0,40.0,88.0,68.0,88.0,66.0,63.0
df_level1,96.0,13.0,12.0,12.0,14.0,15.0,49.0,22.0,49.0,26.0,24.0
df_level2,96.0,20.0,17.0,17.0,17.0,18.0,53.0,34.0,53.0,33.0,35.0
df_level3,94.0,24.0,21.0,21.0,22.0,23.0,63.0,39.0,63.0,41.0,41.0
df_level4,88.0,28.0,22.0,22.0,26.0,26.0,68.0,40.0,68.0,40.0,40.0
cw_level1,66.0,13.0,11.0,11.0,13.0,14.0,43.0,18.0,43.0,21.0,20.0
cw_level2,91.0,18.0,16.0,16.0,17.0,17.0,56.0,35.0,56.0,30.0,31.0
cw_level3,99.0,23.0,21.0,21.0,22.0,23.0,64.0,39.0,64.0,43.0,40.0
cw_level4,100.0,29.0,19.0,19.0,23.0,23.0,75.0,44.0,75.0,45.0,45.0
hsj_level1,91.0,44.0,25.0,25.0,30.0,32.0,68.0,43.0,68.0,59.0,61.0
hsj_level2,91.0,44.0,25.0,25.0,28.0,35.0,65.0,46.0,65.0,57.0,65.0
hsj_level3,93.0,45.0,30.0,30.0,33.0,43.0,73.0,52.0,73.0,58.0,63.0
hsj_level4,97.0,39.0,21.0,21.0,26.0,33.0,66.0,45.0,66.0,60.0,65.0
ga_level1,39.0,34.0,19.0,19.0,26.0,28.0,48.0,25.0,48.0,29.0,33.0
ga_level2,48.0,42.0,23.0,23.0,30.0,34.0,61.0,36.0,61.0,32.0,40.0
ga_level3,55.0,41.0,29.0,29.0,38.0,41.0,64.0,38.0,64.0,43.0,45.0
ga_level4,59.0,48.0,34.0,34.0,43.0,42.0,69.0,43.0,69.0,46.0,49.0
